"date","intercn","gasprice","coalprice","costratio","load","tlsd","tlmin","tlmax","meant","nonfossil","so2price","netNSflow","yearseason","fit","lwr","upr","fit.transformed","lwr.transformed","upr.transformed"
"11/12/2011","ERCOT",3.206738,2.9720459,0.926812823,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,525347.005096473,515257.41105672,535436.599136225,-0.0959999311463726,-0.11336177697048,-0.0786380853222655
"11/13/2011","ERCOT",3.206738,2.9720459,0.926812823,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,525347.005096473,515257.41105672,535436.599136225,-0.0959999311463726,-0.11336177697048,-0.0786380853222655
"11/14/2011","ERCOT",3.0808129,2.9720459,0.964695357,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,520426.704145428,510470.580412209,530382.827878646,-0.10446662526545,-0.121598799719727,-0.0873344508111727
"11/15/2011","ERCOT",3.06319,2.9720459,0.970245365,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,519693.14222922,509771.685711856,529614.598746584,-0.105728914792805,-0.122801435027651,-0.0886563945579579
"11/16/2011","ERCOT",3.0715439,2.9720459,0.967606519,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,520042.318598289,510103.996399763,529980.640796815,-0.105128063434334,-0.122229605585712,-0.0880265212829567
"11/17/2011","ERCOT",3.090584,2.9720459,0.961645404,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,520828.481501561,510854.667047297,530802.295955825,-0.103775259836344,-0.120937875908996,-0.086612643763693
"11/18/2011","ERCOT",2.964792,2.9720459,1.002446681,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,515376.772579161,505700.780044637,525052.765113686,-0.113156383538218,-0.129806517321375,-0.0965062497550605
"11/19/2011","ERCOT",2.964792,2.9720459,1.002446681,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,515376.772579161,505700.780044637,525052.765113686,-0.113156383538218,-0.129806517321375,-0.0965062497550605
"11/20/2011","ERCOT",2.964792,2.9720459,1.002446681,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,515376.772579161,505700.780044637,525052.765113686,-0.113156383538218,-0.129806517321375,-0.0965062497550605
"11/21/2011","ERCOT",2.8932681,2.9720459,1.027227964,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,511988.776701203,502514.509141634,521463.044260772,-0.118986336840013,-0.135289348836085,-0.102683324843942
"11/22/2011","ERCOT",3.0048749,2.9720459,0.989074753,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,517181.403849853,507396.770078798,526966.037620909,-0.110051032642268,-0.126888112737771,-0.093213952546766
"11/23/2011","ERCOT",2.728971,2.9720459,1.089071998,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,503309.27116075,494043.769829143,512574.772492356,-0.133921748158755,-0.149865522008189,-0.117977974309321
"11/24/2011","ERCOT",2.728971,2.9720459,1.089071998,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,503309.27116075,494043.769829143,512574.772492356,-0.133921748158755,-0.149865522008189,-0.117977974309321
"11/25/2011","ERCOT",2.728971,2.9720459,1.089071998,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,503309.27116075,494043.769829143,512574.772492356,-0.133921748158755,-0.149865522008189,-0.117977974309321
"11/26/2011","ERCOT",2.728971,2.9720459,1.089071998,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,503309.27116075,494043.769829143,512574.772492356,-0.133921748158755,-0.149865522008189,-0.117977974309321
"11/27/2011","ERCOT",2.728971,2.9720459,1.089071998,866491.021282753,5436.64777250684,27985.2858881502,43657.3649601095,68.5191140136879,5071451.49335158,236.056559888271,0,20091.516229957,503309.27116075,494043.769829143,512574.772492356,-0.133921748158755,-0.149865522008189,-0.117977974309321
