date,intercn,costratio,fit,lwr,upr,fit.transformed,lwr.transformed,upr.transformed
1/11/2006,ERCOT,0.213029769,588318.2347,579445.5083,597190.9611,0.012358916,-0.002908983,0.027626816
1/11/2006,WECC,0.205078867,880860.1822,873103.3824,888616.982,0.007984713,-0.000891538,0.016860963
1/12/2006,EAST,0.238480553,5093961.539,5035888.276,5152034.803,0.013494432,0.001940177,0.025048687
1/12/2006,ERCOT,0.210275713,588864.7715,579515.6195,598213.9235,0.013299379,-0.002788338,0.029387096
1/12/2006,WECC,0.199157045,881789.8921,873401.0752,890178.7089,0.009048597,-0.000550882,0.018648076
1/13/2006,EAST,0.241077997,5092582.336,5037832.699,5147331.973,0.013220026,0.00232704,0.024113012
1/13/2006,ERCOT,0.215420731,587852.802,579361.9859,596343.6181,0.011558015,-0.003052706,0.026168735
1/13/2006,WECC,0.206973803,880573.0266,872924.7457,888221.3074,0.007656115,-0.001095955,0.016408185
1/14/2006,EAST,0.241077997,5092582.336,5037832.699,5147331.973,0.013220026,0.00232704,0.024113012
1/14/2006,ERCOT,0.215420731,587852.802,579361.9859,596343.6181,0.011558015,-0.003052706,0.026168735
1/14/2006,WECC,0.206973803,880573.0266,872924.7457,888221.3074,0.007656115,-0.001095955,0.016408185
1/15/2006,EAST,0.241077997,5092582.336,5037832.699,5147331.973,0.013220026,0.00232704,0.024113012
1/15/2006,ERCOT,0.215420731,587852.802,579361.9859,596343.6181,0.011558015,-0.003052706,0.026168735
1/15/2006,WECC,0.206973803,880573.0266,872924.7457,888221.3074,0.007656115,-0.001095955,0.016408185
1/16/2006,EAST,0.241077997,5092582.336,5037832.699,5147331.973,0.013220026,0.00232704,0.024113012
1/16/2006,ERCOT,0.215420731,587852.802,579361.9859,596343.6181,0.011558015,-0.003052706,0.026168735
1/16/2006,WECC,0.206973803,880573.0266,872924.7457,888221.3074,0.007656115,-0.001095955,0.016408185
1/17/2006,EAST,0.236346419,5095101.935,5033978.327,5156225.543,0.013721325,0.001560174,0.025882476
1/17/2006,ERCOT,0.216103701,587721.4589,579334.066,596108.8518,0.011332004,-0.00310075,0.025764757
1/17/2006,WECC,0.206352887,880666.5445,872987.5168,888345.5721,0.007763129,-0.001024125,0.016550384
1/18/2006,EAST,0.23683637,5094839.56,5034440.602,5155238.517,0.013669123,0.001652148,0.025686098
1/18/2006,ERCOT,0.216411596,587662.4857,579320.8733,596004.098,0.011230524,-0.003123451,0.0255845
1/18/2006,WECC,0.206261751,880680.3181,872996.3871,888364.2492,0.007778891,-0.001013975,0.016571756
1/19/2006,EAST,0.254138915,5085803.231,5040398.978,5131207.484,0.011871255,0.002837626,0.020904884
1/19/2006,ERCOT,0.233327458,584676.6941,577980.0807,591373.3076,0.006092671,-0.005430644,0.017615986
1/19/2006,WECC,0.221541636,878553.9555,870596.2868,886511.6241,0.005345654,-0.003760454,0.014451763
1/20/2006,EAST,0.237848245,5094298.75,5035350.757,5153246.744,0.013561524,0.001833233,0.025289815
1/20/2006,ERCOT,0.218074864,587346.5168,579242.975,595450.0585,0.010686815,-0.003257496,0.024631127
1/20/2006,WECC,0.206861011,880589.9724,872936.4491,888243.4958,0.007675507,-0.001082563,0.016433576
1/21/2006,EAST,0.237848245,5094298.75,5035350.757,5153246.744,0.013561524,0.001833233,0.025289815
1/21/2006,ERCOT,0.218074864,587346.5168,579242.975,595450.0585,0.010686815,-0.003257496,0.024631127
1/21/2006,WECC,0.206861011,880589.9724,872936.4491,888243.4958,0.007675507,-0.001082563,0.016433576
1/22/2006,EAST,0.237848245,5094298.75,5035350.757,5153246.744,0.013561524,0.001833233,0.025289815
1/22/2006,ERCOT,0.218074864,587346.5168,579242.975,595450.0585,0.010686815,-0.003257496,0.024631127
1/22/2006,WECC,0.206861011,880589.9724,872936.4491,888243.4958,0.007675507,-0.001082563,0.016433576
1/23/2006,EAST,0.252142473,5086821.762,5040814.945,5132828.578,0.012073902,0.002920387,0.021227417
1/23/2006,ERCOT,0.229840651,585248.0399,578354.8634,592141.2164,0.007075825,-0.00478573,0.018937379
1/23/2006,WECC,0.217498744,879078.7741,871356.0239,886801.5243,0.005946214,-0.002891073,0.014783501
1/24/2006,EAST,0.251633411,5087082.531,5040875.374,5133289.688,0.012125785,0.00293241,0.021319159
1/24/2006,ERCOT,0.228512083,585472.1551,578484.9492,592459.361,0.007461475,-0.004561882,0.019484832
1/24/2006,WECC,0.220542649,878680.9368,870787.4479,886574.4257,0.005490962,-0.003541705,0.014523628
1/25/2006,EAST,0.246091211,5089948.649,5040292.365,5139604.934,0.012696028,0.002816415,0.022575641
1/25/2006,ERCOT,0.226440668,585828.3998,578672.9406,592983.859,0.008074489,-0.004238393,0.020387371
1/25/2006,WECC,0.219211775,878852.8782,871039.2007,886666.5557,0.005687717,-0.003253619,0.014629054
1/26/2006,EAST,0.267579023,5079128.021,5031652.123,5126603.919,0.010543156,0.001097353,0.019988959
1/26/2006,ERCOT,0.247937354,582573.8585,576054.6922,589093.0248,0.00247418,-0.00874379,0.01369215
1/26/2006,WECC,0.240907223,876475.9334,867235.3639,885716.5028,0.002967735,-0.007606421,0.013541891
