"date","intercn","gasprice","coalprice","costratio","load","tlsd","tlmin","tlmax","meant","nonfossil","so2price","netNSflow","yearseason","fit","lwr","upr","fit.transformed","lwr.transformed","upr.transformed"
"1/1/2006","WECC",7.8194442,1.6299193,0.208444393,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880353.812103819,872760.274709581,887947.349498057,0.00740526389830909,-0.00128416237257101,0.016094690169189
"1/2/2006","WECC",7.8194442,1.6299193,0.208444393,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880353.812103819,872760.274709581,887947.349498057,0.00740526389830909,-0.00128416237257101,0.016094690169189
"1/3/2006","WECC",8.3570938,1.6299193,0.195034224,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,882464.146946311,873372.117845745,891556.176046877,0.00982015936384228,-0.000584018876197967,0.0202243376038824
"1/4/2006","WECC",7.8235712,1.6299193,0.208334437,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880370.090934273,872773.319025004,887966.862843542,0.00742389206719274,-0.00126923551948055,0.016117019653866
"1/5/2006","WECC",8.0571852,1.6299193,0.202293885,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,881291.476084683,873293.620367286,889289.33180208,0.00847825025572924,-0.000673845002824747,0.017630345514283
"1/6/2006","WECC",7.934618,1.6299193,0.205418749,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880808.294920221,873074.200241478,888542.389598964,0.00792533704992104,-0.000924931539515783,0.0167756056393582
"1/7/2006","WECC",7.934618,1.6299193,0.205418749,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880808.294920221,873074.200241478,888542.389598964,0.00792533704992104,-0.000924931539515783,0.0167756056393582
"1/8/2006","WECC",7.934618,1.6299193,0.205418749,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880808.294920221,873074.200241478,888542.389598964,0.00792533704992104,-0.000924931539515783,0.0167756056393582
"1/9/2006","WECC",7.884851,1.6299193,0.206715295,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880611.892501503,872951.371969459,888272.413033547,0.00770059010416113,-0.00106548621887992,0.016466666427202
"1/10/2006","WECC",7.7836008,1.6299193,0.209404277,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880212.48002721,872641.478512418,887783.481542001,0.00724353497071628,-0.00142010307357898,0.0159071730150115
"1/11/2006","WECC",7.9477682,1.6299193,0.205078867,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880860.182171881,873103.382385258,888616.981958505,0.00798471259840294,-0.000891537868867642,0.0168609630656735
"1/12/2006","WECC",8.1840906,1.6299193,0.199157045,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,881789.892062023,873401.075218042,890178.708906005,0.00904859694166404,-0.000550882415743414,0.0186480762990715
"1/13/2006","WECC",7.8750029,1.6299193,0.206973803,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880573.02655635,872924.74568381,888221.307428891,0.00765611507923913,-0.00109595517346683,0.0164081853319451
"1/14/2006","WECC",7.8750029,1.6299193,0.206973803,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880573.02655635,872924.74568381,888221.307428891,0.00765611507923913,-0.00109595517346683,0.0164081853319451
"1/15/2006","WECC",7.8750029,1.6299193,0.206973803,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880573.02655635,872924.74568381,888221.307428891,0.00765611507923913,-0.00109595517346683,0.0164081853319451
"1/16/2006","WECC",7.8750029,1.6299193,0.206973803,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880573.02655635,872924.74568381,888221.307428891,0.00765611507923913,-0.00109595517346683,0.0164081853319451
"1/17/2006","WECC",7.8986988,1.6299193,0.206352887,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880666.544450071,872987.516802557,888345.572097584,0.00776312934680656,-0.00102412501316351,0.0165503837067769
"1/18/2006","WECC",7.9021888,1.6299193,0.206261751,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880680.31814637,872996.387075037,888364.249217704,0.00777889084401928,-0.00101397459515506,0.0165717562831937
"1/19/2006","WECC",7.3571692,1.6299193,0.221541636,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,878553.95545629,870596.286846355,886511.624066226,0.00534565441397028,-0.00376045398902447,0.0144517628169651
"1/20/2006","WECC",7.8792968,1.6299193,0.206861011,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880589.972434629,872936.449114444,888243.495754814,0.00767550656337246,-0.00108256271981411,0.0164335758465588
"1/21/2006","WECC",7.8792968,1.6299193,0.206861011,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880589.972434629,872936.449114444,888243.495754814,0.00767550656337246,-0.00108256271981411,0.0164335758465588
"1/22/2006","WECC",7.8792968,1.6299193,0.206861011,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880589.972434629,872936.449114444,888243.495754814,0.00767550656337246,-0.00108256271981411,0.0164335758465588
"1/23/2006","WECC",7.4939251,1.6299193,0.217498744,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,879078.774109609,871356.023917976,886801.524301243,0.00594621417378116,-0.0028910727077639,0.0147835010553261
"1/24/2006","WECC",7.3904948,1.6299193,0.220542649,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,878680.936803285,870787.447858389,886574.425748181,0.005490961534381,-0.0035417048825549,0.0145236279513168
"1/25/2006","WECC",7.4353638,1.6299193,0.219211775,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,878852.878197037,871039.200683558,886666.555710515,0.00568771727368245,-0.00325361943578339,0.0146290539831482
"1/26/2006","WECC",6.7657552,1.6299193,0.240907223,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,876475.93335738,867235.363944008,885716.502770753,0.00296773502274705,-0.00760642066382067,0.0135418907093146
"1/27/2006","WECC",7.1642299,1.6299193,0.227507956,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,877834.102623109,869449.974660248,886218.23058597,0.00452191340960484,-0.00507220037380518,0.0141160271930152
"1/28/2006","WECC",7.1642299,1.6299193,0.227507956,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,877834.102623109,869449.974660248,886218.23058597,0.00452191340960484,-0.00507220037380518,0.0141160271930152
"1/29/2006","WECC",7.1642299,1.6299193,0.227507956,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,877834.102623109,869449.974660248,886218.23058597,0.00452191340960484,-0.00507220037380518,0.0141160271930152
"1/30/2006","WECC",7.3509779,1.6299193,0.221728227,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,878530.437930964,870560.432748774,886500.443113154,0.00531874287172207,-0.00380148250067391,0.0144389682441182
"1/31/2006","WECC",7.6872001,1.6299193,0.212030294,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,879833.093547389,872274.555820908,887391.631273869,0.00680939595573293,-0.00183997954345838,0.0154587714549244
"2/1/2006","WECC",7.68856,1.5973077,0.207751217,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,880456.739253812,872840.513905781,888072.964601842,0.00752304535307746,-0.0011923431658929,0.0162384338720476
"2/2/2006","WECC",6.8646231,1.5973077,0.232686875,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,877265.509186577,868507.885123836,886023.133249318,0.00387126135005267,-0.00615025097686572,0.0138927736769709
"2/3/2006","WECC",6.8170152,1.5973077,0.234311888,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,877098.426626049,868232.166309907,885964.686942191,0.00368006566410517,-0.00646576115094466,0.0138258924791552
"2/4/2006","WECC",6.8170152,1.5973077,0.234311888,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,877098.426626049,868232.166309907,885964.686942191,0.00368006566410517,-0.00646576115094466,0.0138258924791552
"2/5/2006","WECC",6.8170152,1.5973077,0.234311888,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,877098.426626049,868232.166309907,885964.686942191,0.00368006566410517,-0.00646576115094466,0.0138258924791552
"2/6/2006","WECC",7.0922308,1.5973077,0.225219363,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,878102.270380858,869886.946804424,886317.593957293,0.0048287827694582,-0.00457216501056024,0.0142297305494767
"2/7/2006","WECC",6.7706189,1.5973077,0.235917532,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,876938.743510671,867971.103923634,885906.383097708,0.00349733730105872,-0.00676449970187898,0.0137591743039964
"2/8/2006","WECC",6.9576621,1.5973077,0.229575348,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,877600.651524018,869064.159561802,886137.143486235,0.00425477096885785,-0.00551369577681471,0.0140232377145304
"2/9/2006","WECC",6.8065691,1.5973077,0.234671488,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,877062.199304305,868172.698486991,885951.700121619,0.00363861006509492,-0.00653381128830322,0.0138110314184929
"2/10/2006","WECC",6.7389321,1.5973077,0.237026828,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,876831.52162347,867797.561324606,885865.481922334,0.0033746412985125,-0.00696308773020105,0.0137123703272259
"2/11/2006","WECC",6.7389321,1.5973077,0.237026828,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,876831.52162347,867797.561324606,885865.481922334,0.0033746412985125,-0.00696308773020105,0.0137123703272259
"2/12/2006","WECC",6.7389321,1.5973077,0.237026828,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,876831.52162347,867797.561324606,885865.481922334,0.0033746412985125,-0.00696308773020105,0.0137123703272259
"2/13/2006","WECC",6.6417131,1.5973077,0.240496341,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,876512.173598327,867291.56809756,885732.779099093,0.00300920540544136,-0.00754210520410092,0.0135605160149836
"2/14/2006","WECC",6.3977618,1.5973077,0.249666641,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,875779.387625091,866219.562583255,885339.212666927,0.00217066476803041,-0.00876882108036736,0.013110150616428
"2/15/2006","WECC",6.7383718,1.5973077,0.237046537,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,876829.639284398,867794.529032247,885864.74953655,0.00337248730285422,-0.00696655763882381,0.013711532244532
"2/16/2006","WECC",6.77561,1.5973077,0.235743749,1834823.837544,9641.95927274149,61261.3149339069,89256.1595240516,58.3358898380915,24970452.7626124,236.056559888271,-213163.192143919,20091.516229957,876955.769287571,867998.799987863,885912.738587279,0.00351682021467314,-0.00673280657973807,0.0137664470090844
