date,intercn,co2mass,gasprice,coalprice
2/6/2006,WECC,843811.617,7.0922308,1.5973077
2/7/2006,EAST,5600192.067,7.8234591,2.0730097
2/7/2006,ERCOT,502461.447,7.1334238,1.6530137
2/7/2006,WECC,853342.736,6.7706189,1.5973077
2/8/2006,EAST,5711717.044,7.967936,2.0730097
2/8/2006,ERCOT,497284.006,7.2707791,1.6530137
2/8/2006,WECC,866406.766,6.9576621,1.5973077
2/9/2006,EAST,5747408.714,7.678463,2.0730097
2/9/2006,ERCOT,491398.929,7.0463362,1.6530137
2/9/2006,WECC,859330.703,6.8065691,1.5973077
2/10/2006,EAST,5684192.366,7.780746,2.0730097
2/10/2006,ERCOT,487810.2,7.110538,1.6530137
2/10/2006,WECC,819809.206,6.7389321,1.5973077
2/11/2006,EAST,5319564.969,7.780746,2.0730097
2/11/2006,ERCOT,536678.225,7.110538,1.6530137
2/11/2006,WECC,773194.792,6.7389321,1.5973077
2/12/2006,EAST,5444019.135,7.780746,2.0730097
2/12/2006,ERCOT,533640.259,7.110538,1.6530137
2/12/2006,WECC,781209.6,6.7389321,1.5973077
2/13/2006,EAST,5937613.825,7.4614468,2.0730097
2/13/2006,ERCOT,522310.973,6.8561282,1.6530137
2/13/2006,WECC,836085.367,6.6417131,1.5973077
2/14/2006,EAST,5660410.967,7.0712848,2.0730097
2/14/2006,ERCOT,499783.592,6.4886198,1.6530137
2/14/2006,WECC,848782.083,6.3977618,1.5973077
2/15/2006,EAST,5385986.195,7.3808818,2.0730097
2/15/2006,ERCOT,478867.342,6.880784,1.6530137
2/15/2006,WECC,878146.62,6.7383718,1.5973077
2/16/2006,EAST,5212193.092,7.3164468,2.0730097
2/16/2006,ERCOT,486366.553,6.8555369,1.6530137
2/16/2006,WECC,889106.694,6.77561,1.5973077
2/17/2006,EAST,5317102.573,7.703651,2.0730097
2/17/2006,ERCOT,527188.576,7.1920209,1.6530137
2/17/2006,WECC,906268.107,6.866487,1.5973077
2/18/2006,EAST,5568719.418,7.703651,2.0730097
2/18/2006,ERCOT,606477.61,7.1920209,1.6530137
2/18/2006,WECC,878134.416,6.866487,1.5973077
2/19/2006,EAST,5640510.07,7.703651,2.0730097
2/19/2006,ERCOT,628176.028,7.1920209,1.6530137
2/19/2006,WECC,837645.649,6.866487,1.5973077
2/20/2006,EAST,5762520.742,7.703651,2.0730097
2/20/2006,ERCOT,575718.201,7.1920209,1.6530137
2/20/2006,WECC,864814.215,6.866487,1.5973077
2/21/2006,EAST,5556652.961,7.4556899,2.0730097
2/21/2006,ERCOT,528962.13,7.127562,1.6530137
2/21/2006,WECC,870923.915,6.8830171,1.5973077
2/22/2006,EAST,5435995.43,7.525753,2.0730097
2/22/2006,ERCOT,520847.652,7.1924829,1.6530137
2/22/2006,WECC,874626.197,6.6960378,1.5973077
2/23/2006,EAST,5385558.85,7.2880759,2.0730097
2/23/2006,ERCOT,522190.878,6.8891401,1.6530137
2/23/2006,WECC,847319.074,6.5107522,1.5973077
2/24/2006,EAST,5357609.814,7.5928459,2.0730097
2/24/2006,ERCOT,504171.817,6.8933668,1.6530137
2/24/2006,WECC,853720.794,6.5175772,1.5973077
2/25/2006,EAST,4997834.895,7.5928459,2.0730097
2/25/2006,ERCOT,483345.453,6.8933668,1.6530137
2/25/2006,WECC,820973.656,6.5175772,1.5973077
2/26/2006,EAST,5056101.493,7.5928459,2.0730097
2/26/2006,ERCOT,479774.471,6.8933668,1.6530137
2/26/2006,WECC,817413.588,6.5175772,1.5973077
2/27/2006,EAST,5554041.217,7.1143718,2.0730097
2/27/2006,ERCOT,494024.923,6.4930511,1.6530137
2/27/2006,WECC,832568.008,6.1554828,1.5973077
2/28/2006,EAST,5335004.03,6.594418,2.0730097
2/28/2006,ERCOT,484332.914,6.0165138,1.6530137
2/28/2006,WECC,806659.231,5.8336191,1.5973077
3/1/2006,EAST,5134045.786,6.5809369,2.0909662
3/1/2006,ERCOT,478379.916,5.8348861,1.6899333
3/1/2006,WECC,832924.674,5.5603962,1.5720334
3/2/2006,EAST,5154568.93,6.7804389,2.0909662
