date,month,year,intercn,co2mass,gasprice,load
2/5/2006,2,2006,ERCOT,457545.709,7.300436,660050.06
2/5/2006,2,2006,WECC,787078.348,6.8170152,1634291
2/6/2006,2,2006,EAST,5596277.551,8.2419081,7790020
2/6/2006,2,2006,ERCOT,480082.435,7.5556989,705703.38
2/6/2006,2,2006,WECC,843811.617,7.0922308,1814229.9
2/7/2006,2,2006,EAST,5600192.067,7.8234591,7805038.5
2/7/2006,2,2006,ERCOT,502461.447,7.1334238,744233.5
2/7/2006,2,2006,WECC,853342.736,6.7706189,1822223.3
2/8/2006,2,2006,EAST,5711717.044,7.967936,7944944.5
2/8/2006,2,2006,ERCOT,497284.006,7.2707791,727610.38
2/8/2006,2,2006,WECC,866406.766,6.9576621,1811310.5
2/9/2006,2,2006,EAST,5747408.714,7.678463,8034212.5
2/9/2006,2,2006,ERCOT,491398.929,7.0463362,718003.44
2/9/2006,2,2006,WECC,859330.703,6.8065691,1806566
2/10/2006,2,2006,EAST,5684192.366,7.780746,7924176
2/10/2006,2,2006,ERCOT,487810.2,7.110538,723948.88
2/10/2006,2,2006,WECC,819809.206,6.7389321,1793407.4
2/11/2006,2,2006,EAST,5319564.969,7.780746,7396865.5
2/11/2006,2,2006,ERCOT,536678.225,7.110538,789434.88
2/11/2006,2,2006,WECC,773194.792,6.7389321,1680349.6
2/12/2006,2,2006,EAST,5444019.135,7.780746,7575518.5
2/12/2006,2,2006,ERCOT,533640.259,7.110538,783272.81
2/12/2006,2,2006,WECC,781209.6,6.7389321,1640166.9
2/13/2006,2,2006,EAST,5937613.825,7.4614468,8338964.5
2/13/2006,2,2006,ERCOT,522310.973,6.8561282,787685.38
2/13/2006,2,2006,WECC,836085.367,6.6417131,1801712.4
2/14/2006,2,2006,EAST,5660410.967,7.0712848,7928644.5
2/14/2006,2,2006,ERCOT,499783.592,6.4886198,734359.38
2/14/2006,2,2006,WECC,848782.083,6.3977618,1804610.5
2/15/2006,2,2006,EAST,5385986.195,7.3808818,7434129
2/15/2006,2,2006,ERCOT,478867.342,6.880784,690430.56
2/15/2006,2,2006,WECC,878146.62,6.7383718,1832971.3
2/16/2006,2,2006,EAST,5212193.092,7.3164468,7212486
2/16/2006,2,2006,ERCOT,486366.553,6.8555369,711303.06
2/16/2006,2,2006,WECC,889106.694,6.77561,1877522.3
2/17/2006,2,2006,EAST,5317102.573,7.703651,7366389.5
2/17/2006,2,2006,ERCOT,527188.576,7.1920209,784875
2/17/2006,2,2006,WECC,906268.107,6.866487,1905063.3
2/18/2006,2,2006,EAST,5568719.418,7.703651,7690079.5
2/18/2006,2,2006,ERCOT,606477.61,7.1920209,903279.25
2/18/2006,2,2006,WECC,878134.416,6.866487,1782880
2/19/2006,2,2006,EAST,5640510.07,7.703651,7815341
2/19/2006,2,2006,ERCOT,628176.028,7.1920209,937485.88
2/19/2006,2,2006,WECC,837645.649,6.866487,1720981.3
2/20/2006,2,2006,EAST,5762520.742,7.703651,8018966.5
2/20/2006,2,2006,ERCOT,575718.201,7.1920209,887727.38
2/20/2006,2,2006,WECC,864814.215,6.866487,1837732
2/21/2006,2,2006,EAST,5556652.961,7.4556899,7707632
2/21/2006,2,2006,ERCOT,528962.13,7.127562,806583.25
2/21/2006,2,2006,WECC,870923.915,6.8830171,1868051
2/22/2006,2,2006,EAST,5435995.43,7.525753,7536887
2/22/2006,2,2006,ERCOT,520847.652,7.1924829,751788.44
2/22/2006,2,2006,WECC,874626.197,6.6960378,1846929.8
2/23/2006,2,2006,EAST,5385558.85,7.2880759,7410349
2/23/2006,2,2006,ERCOT,522190.878,6.8891401,742411.69
2/23/2006,2,2006,WECC,847319.074,6.5107522,1819801.6
2/24/2006,2,2006,EAST,5357609.814,7.5928459,7386715
2/24/2006,2,2006,ERCOT,504171.817,6.8933668,730069.44
2/24/2006,2,2006,WECC,853720.794,6.5175772,1789199.8
2/25/2006,2,2006,EAST,4997834.895,7.5928459,6946643.5
2/25/2006,2,2006,ERCOT,483345.453,6.8933668,687264.69
2/25/2006,2,2006,WECC,820973.656,6.5175772,1669881.5
2/26/2006,2,2006,EAST,5056101.493,7.5928459,7028767.5
2/26/2006,2,2006,ERCOT,479774.471,6.8933668,662094.38
2/26/2006,2,2006,WECC,817413.588,6.5175772,1637349
2/27/2006,2,2006,EAST,5554041.217,7.1143718,7775954
2/27/2006,2,2006,ERCOT,494024.923,6.4930511,708180.75
2/27/2006,2,2006,WECC,832568.008,6.1554828,1775322.4
2/28/2006,2,2006,EAST,5335004.03,6.594418,7378602
2/28/2006,2,2006,ERCOT,484332.914,6.0165138,693923.31
2/28/2006,2,2006,WECC,806659.231,5.8336191,1767397
3/1/2006,3,2006,EAST,5134045.786,6.5809369,7113074
3/1/2006,3,2006,ERCOT,478379.916,5.8348861,713379.56
3/1/2006,3,2006,WECC,832924.674,5.5603962,1744621.6
3/2/2006,3,2006,EAST,5154568.93,6.7804389,7139077.5
3/2/2006,3,2006,ERCOT,495123.897,5.9329958,719920.94
3/2/2006,3,2006,WECC,837793.053,5.6108561,1758907.9
3/3/2006,3,2006,EAST,5267474.331,6.6022959,7275971
3/3/2006,3,2006,ERCOT,482024.561,5.8330579,692386
3/3/2006,3,2006,WECC,819543.995,5.6186838,1749514.5
3/4/2006,3,2006,EAST,5011976.317,6.6022959,6910317.5
3/4/2006,3,2006,ERCOT,423525.349,5.8330579,634257.25
3/4/2006,3,2006,WECC,774432.436,5.6186838,1630540.3
3/5/2006,3,2006,EAST,4805322.386,6.6022959,6613891
3/5/2006,3,2006,ERCOT,441427.696,5.8330579,642835.63
3/5/2006,3,2006,WECC,816971.331,5.6186838,1604481.8
3/6/2006,3,2006,EAST,5171221.467,6.476491,7182083
3/6/2006,3,2006,ERCOT,490326.7,5.8151498,735135.5
3/6/2006,3,2006,WECC,862927.91,5.763824,1752046.1
3/7/2006,3,2006,EAST,5219786.29,6.490757,7256907.5
3/7/2006,3,2006,ERCOT,482366.113,6.016221,729945.5
3/7/2006,3,2006,WECC,857682.099,5.868021,1748842.5
3/8/2006,3,2006,EAST,5214721.497,6.3843498,7216848
3/8/2006,3,2006,ERCOT,472336.102,6.0280561,736469.06
3/8/2006,3,2006,WECC,859221.784,5.867703,1775101.5
3/9/2006,3,2006,EAST,4985686.625,6.2358398,6933954.5
3/9/2006,3,2006,ERCOT,435217.214,5.9255962,708977.75
3/9/2006,3,2006,WECC,847926.692,5.8127899,1797859.3
3/10/2006,3,2006,EAST,4836299.805,6.2989359,6755002
3/10/2006,3,2006,ERCOT,459572.074,5.9563379,719065.94
3/10/2006,3,2006,WECC,839081.556,5.8700109,1806023.6
3/11/2006,3,2006,EAST,4486706.087,6.2989359,6271054.5
3/11/2006,3,2006,ERCOT,467779.833,5.9563379,735246.5
3/11/2006,3,2006,WECC,843074.655,5.8700109,1730203
3/12/2006,3,2006,EAST,4358201.948,6.2989359,6155660.5
3/12/2006,3,2006,ERCOT,470869.567,5.9563379,744155.5
3/12/2006,3,2006,WECC,853902.677,5.8700109,1684738.3
3/13/2006,3,2006,EAST,4869409.679,6.7621608,6873096
3/13/2006,3,2006,ERCOT,463998.463,6.304503,708990.38
3/13/2006,3,2006,WECC,901378.721,6.0310578,1807002.5
3/14/2006,3,2006,EAST,4987923.404,7.1455808,7003047.5
3/14/2006,3,2006,ERCOT,458894.885,6.693336,673283.94
3/14/2006,3,2006,WECC,886689.119,6.224987,1790991.9
3/15/2006,3,2006,EAST,5058446.565,7.0788002,7120383.5
3/15/2006,3,2006,ERCOT,446735.604,6.556602,671190
3/15/2006,3,2006,WECC,873978.3,6.2327199,1764069.8
3/16/2006,3,2006,EAST,5078512.371,7.137692,7069110.5
