"date","intercn","co2mass","gasprice","coalprice","costratio","load","tlsd","tlmin","tlmax","meant","nonfossil","so2price","netNSflow","yearseason","fit","lwr","upr","fit.transformed","lwr.transformed","upr.transformed"
"6/11/2012","EAST",5242242.64,2.2568009,2.6430182,1.171134857,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4427426.97418742,4358365.69642084,4496488.251954,-0.11911926460541,-0.13285969431797,-0.105378834892849
"6/12/2012","EAST",5086432.6,2.2242949,2.6430182,1.188249903,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4424183.00231938,4351686.83841031,4496679.16622845,-0.119764685149075,-0.134188519703506,-0.105340850594643
"6/13/2012","EAST",4888868.757,2.2114439,2.6430182,1.195154984,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4422978.48767339,4348825.8716658,4497131.10368097,-0.120004335346208,-0.134757737559506,-0.10525093313291
"6/14/2012","EAST",4942054.663,2.219511,2.6430182,1.190811039,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4423729.42618361,4350636.8343624,4496822.01800483,-0.119854928643177,-0.134397428476771,-0.105312428809583
"6/15/2012","EAST",5115081.977,2.4144349,2.6430182,1.094673623,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4447007.21076834,4382477.44120409,4511536.98033259,-0.115223581334028,-0.128062422313226,-0.102384740354831
"6/16/2012","EAST",4846771.297,2.4144349,2.6430182,1.094673623,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4447007.21076834,4382477.44120409,4511536.98033259,-0.115223581334028,-0.128062422313226,-0.102384740354831
"6/17/2012","EAST",4601077.281,2.4144349,2.6430182,1.094673623,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4447007.21076834,4382477.44120409,4511536.98033259,-0.115223581334028,-0.128062422313226,-0.102384740354831
"6/18/2012","EAST",5293020.018,2.4912,2.6430182,1.060941795,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4458676.6617941,4392301.1539205,4525052.16966769,-0.112901827714794,-0.126107896731575,-0.0996957586980122
"6/19/2012","EAST",5721242.757,2.944361,2.6430182,0.897654262,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4548620.7568617,4477984.47231426,4619257.04140915,-0.0950065533106135,-0.109060346324131,-0.0809527602970959
"6/20/2012","EAST",6174719.405,3.089968,2.6430182,0.855354554,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4582671.79240814,4516818.77892003,4648524.80589625,-0.0882317603195675,-0.101333873869392,-0.0751296467697435
"6/21/2012","EAST",6278416.515,2.5968659,2.6430182,1.017772308,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4476736.20291628,4407106.85095796,4546365.5548746,-0.109308701965381,-0.123162155701758,-0.0954552482290042
"6/22/2012","EAST",5897507.349,2.562659,2.6430182,1.031357742,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4470653.63998748,4402040.38620014,4539266.89377482,-0.110518888499691,-0.124170179375042,-0.0968675976243395
"6/23/2012","EAST",5190949.599,2.562659,2.6430182,1.031357742,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4470653.63998748,4402040.38620014,4539266.89377482,-0.110518888499691,-0.124170179375042,-0.0968675976243395
"6/24/2012","EAST",5251115.37,2.562659,2.6430182,1.031357742,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4470653.63998748,4402040.38620014,4539266.89377482,-0.110518888499691,-0.124170179375042,-0.0968675976243395
"6/25/2012","EAST",5547316.713,2.7868171,2.6430182,0.948400309,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4514043.76089263,4441479.40090065,4586608.12088461,-0.101885991371263,-0.116323394216266,-0.0874485885262606
"6/26/2012","EAST",5177135.108,2.8202951,2.6430182,0.937142429,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4521153.77255502,4448668.55570254,4593638.98940751,-0.100471383668336,-0.114893040196724,-0.0860497271399476
"6/27/2012","EAST",5435082.832,3.0843279,2.6430182,0.856918682,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4581323.24238999,4515244.77007883,4647401.71470116,-0.0885000677899396,-0.101647038620304,-0.0753530969595753
"6/28/2012","EAST",6281591.009,2.9984369,2.6430182,0.881465339,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4561067.92813683,4491927.13230978,4630208.72396387,-0.0925300644943465,-0.106286315117785,-0.0787738138709081
"6/29/2012","EAST",6613477.633,2.8563509,2.6430182,0.925312853,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4528963.18182002,4456769.0122611,4601157.35137894,-0.0989176238397821,-0.113281373607542,-0.0845538740720219
"6/30/2012","EAST",6071989.041,2.8563509,2.6430182,0.925312853,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4528963.18182002,4456769.0122611,4601157.35137894,-0.0989176238397821,-0.113281373607542,-0.0845538740720219
