date,intercn,co2mass,gasprice,coalprice,tlsd,tlmin,tlmax,load,nonfossil,meant,netNSflow,so2price
1/16/2006,EAST,5308716.941,8.5444803,2.0598862,28247.309,265187.56,350212.06,7503638.5,75239808,36.150246,2618123.3,1513.86
1/16/2006,ERCOT,479691.561,7.7401218,1.6673827,3714.6296,21807.9,32932.191,674898.69,4278971,59.77438,0,1513.86
1/16/2006,WECC,827339.767,7.8750029,1.6299193,8934.001,61634.875,89797.93,1846689.6,26915852,40.390999,-1170263.9,1513.86
1/17/2006,EAST,5407724.353,8.715538,2.0598862,33391.664,256847,358638.16,7592742.5,75239808,39.560123,2618123.3,1513.86
1/17/2006,ERCOT,530170.833,7.7156601,1.6673827,3968.4299,23957.43,36054.488,747610,4278971,52.451775,0,1513.86
1/17/2006,WECC,865044.359,7.8986988,1.6299193,8276.7451,63601.246,89862.172,1873420.1,26915852,41.937897,-1170263.9,1513.86
1/18/2006,EAST,5508931.608,8.6975079,2.0598862,31995.025,266248.25,364576.72,7750534,75239808,40.801533,2618123.3,1513.86
1/18/2006,ERCOT,518956.02,7.7046828,1.6673827,2955.5994,26025.961,38603.969,757770.25,4278971,49.039787,0,1513.86
1/18/2006,WECC,856616.2,7.9021888,1.6299193,8422.8691,62795.707,89705.766,1861197.9,26915852,43.96022,-1170263.9,1513.86
1/19/2006,EAST,5398889.378,8.1053553,2.0598862,24396.701,281224.28,359060.94,7626292,75239808,40.756275,2618123.3,1513.86
1/19/2006,ERCOT,490265.393,7.1461058,1.6673827,3052.8037,23495.76,32577.17,691240.38,4278971,58.759716,0,1513.86
1/19/2006,WECC,868168.371,7.3571692,1.6299193,8502.0039,62477.254,89807.156,1861262.8,26915852,42.71011,-1170263.9,1513.86
1/20/2006,EAST,5067086.169,8.6605062,2.0598862,25717.691,256284.86,333921.59,7235199.5,75239808,46.256805,2618123.3,1513.86
1/20/2006,ERCOT,499653.271,7.6459188,1.6673827,3264.3743,22595.93,31992,684935.25,4278971,63.151592,0,1513.86
1/20/2006,WECC,858619.083,7.8792968,1.6299193,7363.1621,64215.645,86693.242,1863063.6,26915852,39.759293,-1170263.9,1513.86
1/21/2006,EAST,4656395.193,8.6605062,2.0598862,23801.791,240344.39,312215.88,6726732,75239808,45.885807,2618123.3,1513.86
1/21/2006,ERCOT,499258.42,7.6459188,1.6673827,2469.4307,24099.52,31387.16,677751.19,4278971,55.559132,0,1513.86
1/21/2006,WECC,817184.414,7.8792968,1.6299193,5505.4683,64078.453,82476.969,1751738.4,26915852,40.111794,-1170263.9,1513.86
1/22/2006,EAST,4741157.475,8.6605062,2.0598862,27674.822,241947.02,328775.09,6817714.5,75239808,41.522083,2618123.3,1513.86
1/22/2006,ERCOT,509020.451,7.6459188,1.6673827,3284.3584,24243.65,34201.879,701311.75,4278971,50.335304,0,1513.86
1/22/2006,WECC,832026.998,7.8792968,1.6299193,6220.2808,62845.992,83918.328,1717174.8,26915852,40.583015,-1170263.9,1513.86
1/23/2006,EAST,5251895.863,8.1695328,2.0598862,35670.512,252851.11,357351.25,7561548.5,75239808,39.847172,2618123.3,1513.86
1/23/2006,ERCOT,539650.228,7.2545161,1.6673827,3180.1294,25913.689,36269.488,751960.81,4278971,49.101456,0,1513.86
1/23/2006,WECC,890188.389,7.4939251,1.6299193,8578.8623,62021.676,89162.859,1849044.9,26915852,43.250412,-1170263.9,1513.86
1/24/2006,EAST,5210038.044,8.18606,2.0598862,29135.154,262054.78,350988.59,7517225,75239808,40.615269,2618123.3,1513.86
1/24/2006,ERCOT,535408.138,7.2966938,1.6673827,2914.824,26987.15,37319.461,739429.75,4278971,50.469013,0,1513.86
1/24/2006,WECC,890139.461,7.3904948,1.6299193,8132.7202,62142.301,87920.547,1832066.1,26915852,45.696018,-1170263.9,1513.86
1/25/2006,EAST,5397830.397,8.3704176,2.0598862,31598.615,263632,361856.59,7675460.5,75239808,39.973312,2618123.3,1513.86
1/25/2006,ERCOT,521183.6,7.3634419,1.6673827,2999.7012,25514.859,36131.379,721933.69,4278971,52.814129,0,1513.86
1/25/2006,WECC,876146.292,7.4353638,1.6299193,8449.5439,61404.18,88163.695,1831464.5,26915852,44.760803,-1170263.9,1513.86
1/26/2006,EAST,5519836.867,7.698235,2.0598862,27893.545,281970.47,366984.59,7883575,75239808,35.838451,2618123.3,1513.86
1/26/2006,ERCOT,506324.673,6.7250161,1.6673827,3332.4897,23919.789,34044.641,717922.94,4278971,54.355526,0,1513.86
1/26/2006,WECC,867786.731,6.7657552,1.6299193,8110.5278,62404.719,88260.922,1840170.9,26915852,44.142784,-1170263.9,1513.86
1/27/2006,EAST,5311457.861,8.034462,2.0598862,23661.23,282653.69,360157.31,7624361,75239808,37.372974,2618123.3,1513.86
1/27/2006,ERCOT,506374.909,7.064652,1.6673827,2765.8196,25362.01,33987.039,717908,4278971,54.196457,0,1513.86
1/27/2006,WECC,862695.26,7.1642299,1.6299193,7388.7109,62846.395,85464.523,1828628,26915852,42.991386,-1170263.9,1513.86
1/28/2006,EAST,4699062.183,8.034462,2.0598862,16423.648,256792.56,306660.66,6776145.5,75239808,43.796749,2618123.3,1513.86
1/28/2006,ERCOT,466597.151,7.064652,1.6673827,2502.6938,22652.539,29799.131,644469.94,4278971,58.105324,0,1513.86
1/28/2006,WECC,798439.766,7.1642299,1.6299193,5908.165,62134.012,81705.031,1722530.9,26915852,43.209446,-1170263.9,1513.86
1/29/2006,EAST,4377918.229,8.034462,2.0598862,23746.365,231224.95,307466.59,6435252,75239808,47.237583,2618123.3,1513.86
1/29/2006,ERCOT,465280.544,7.064652,1.6673827,2058.4612,23643.98,30544.73,646317.13,4278971,57.149914,0,1513.86
